WormBase Sequence Name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene stable ID
Bm3646	Bm_v4_Chr3_scaffold_001	13182383	13191706	1	WBGene00223907
Bm3648	Bm_v4_ChrX_scaffold_001	318608	321588	-1	WBGene00223909
Bm3649	Bm_v4_Chr1_scaffold_001	1998443	2001474	1	WBGene00223910
Bm3650	Bm_v4_Chr1_scaffold_001	4408837	4410776	1	WBGene00223911
Bm3651	Bm_v4_Chr3_scaffold_001	3719979	3722965	1	WBGene00223912
Bm3652	Bm_v4_Chr3_scaffold_001	13152244	13155143	-1	WBGene00223913
Bm3653	Bm_v4_Chr3_scaffold_001	3717587	3718946	-1	WBGene00223914
Bm3654	Bm_007	208640	209406	-1	WBGene00223915
Bm3655	Bm_v4_ChrX_scaffold_001	19174942	19179311	1	WBGene00223916
Bm3656	Bm_v4_Chr2_contig_001	8964772	8971067	-1	WBGene00223917
Bm3657	Bm_v4_Chr2_contig_001	4014918	4021461	-1	WBGene00223918
Bm3658	Bm_v4_Chr4_scaffold_001	8622120	8626731	1	WBGene00223919
Bm3659	Bm_v4_Chr1_scaffold_001	10010831	10012030	1	WBGene00223920
Bm3660	Bm_v4_Chr3_scaffold_001	5720764	5732836	1	WBGene00223921
Bm3661	Bm_v4_Chr3_scaffold_001	10592191	10595603	1	WBGene00223922
Bm3662	Bm_v4_ChrX_scaffold_001	18769245	18777247	-1	WBGene00223923
Bm3664	Bm_v4_Chr2_contig_001	2371581	2375326	1	WBGene00223925
Bm3665	Bm_v4_Chr4_scaffold_001	11280838	11292175	1	WBGene00223926
Bm3666	Bm_v4_Chr4_scaffold_001	10552804	10560721	-1	WBGene00223927
Bm3667	Bm_v4_Chr4_scaffold_001	10565786	10575258	1	WBGene00223928
Bm3668	Bm_v4_Chr2_contig_001	9193267	9197410	1	WBGene00223929
Bm3669	Bm_v4_Chr2_contig_001	10050448	10056762	-1	WBGene00223930
Bm3670	Bm_v4_Chr2_contig_001	12783724	12791642	-1	WBGene00223931
Bm3671	Bm_v4_Chr2_contig_001	9709821	9711216	1	WBGene00223932
Bm3672	Bm_v4_Chr2_contig_001	5857651	5858593	-1	WBGene00223933
Bm3673	Bm_v4_Chr2_contig_001	9863083	9863958	-1	WBGene00223934
Bm3674	Bm_v4_ChrX_scaffold_001	286105	294648	1	WBGene00223935
Bm3675	Bm_v4_Chr1_scaffold_001	6849559	6850010	1	WBGene00223936
Bm3676	Bm_v4_Chr3_scaffold_001	9316715	9319891	-1	WBGene00223937
Bm3677	Bm_v4_Chr3_scaffold_001	7737899	7740575	-1	WBGene00223938
Bm3678	Bm_v4_ChrX_scaffold_001	5698143	5715436	-1	WBGene00223939
Bm3679	Bm_v4_Chr1_scaffold_001	4345431	4376651	-1	WBGene00223940
Bm3680	Bm_v4_Chr4_scaffold_001	3384340	3386614	-1	WBGene00223941
Bm3681	Bm_v4_ChrX_scaffold_001	5949652	5958509	1	WBGene00223942
Bm3682	Bm_v4_Chr3_scaffold_001	1959786	1963946	-1	WBGene00223943
Bm3683	Bm_v4_Chr3_scaffold_001	6727074	6728741	1	WBGene00223944
Bm3684	Bm_v4_Chr4_scaffold_001	384728	388404	1	WBGene00223945
Bm3686	Bm_v4_ChrX_scaffold_001	3637829	3640482	1	WBGene00223947
Bm3687	Bm_v4_Chr2_contig_001	4478713	4480644	1	WBGene00223948
Bm3689	Bm_v4_ChrX_scaffold_001	5882664	5887795	-1	WBGene00223950
Bm3690	Bm_v4_ChrX_scaffold_001	5617757	5620448	-1	WBGene00223951
Bm3691	Bm_v4_Chr2_contig_001	5962336	5966182	-1	WBGene00223952
Bm3692	Bm_v4_Chr2_contig_001	5967819	5975281	1	WBGene00223953
Bm3693	Bm_v4_ChrX_scaffold_001	14922900	14928865	1	WBGene00223954
Bm3694	Bm_v4_Chr3_scaffold_001	3725702	3764490	1	WBGene00223955
Bm3695	Bm_v4_Chr3_scaffold_001	6639128	6643096	-1	WBGene00223956
Bm3696	Bm_v4_ChrX_scaffold_001	14681905	14684847	-1	WBGene00223957
Bm3697	Bm_v4_Chr4_scaffold_001	6532041	6537466	1	WBGene00223958
Bm3698	Bm_v4_Chr4_scaffold_001	6554732	6557418	-1	WBGene00223959
Bm3699	Bm_v4_Chr4_scaffold_001	4511130	4514990	1	WBGene00223960
Bm3700	Bm_v4_Chr4_scaffold_001	12750216	12760231	1	WBGene00223961
Bm3701	Bm_v4_Chr4_scaffold_001	5515245	5518230	-1	WBGene00223962
Bm3702	Bm_v4_Chr4_scaffold_001	8142821	8147911	-1	WBGene00223963
Bm3703	Bm_v4_Chr3_scaffold_001	12348860	12351468	-1	WBGene00223964
Bm3704	Bm_v4_Chr3_scaffold_001	6373240	6375571	-1	WBGene00223965
Bm3705	Bm_v4_Chr3_scaffold_001	12344308	12347901	1	WBGene00223966
Bm3706	Bm_v4_Chr3_scaffold_001	6376000	6380400	1	WBGene00223967
Bm3707	Bm_v4_Chr3_scaffold_001	6380632	6382797	-1	WBGene00223968
Bm3708	Bm_v4_Chr3_scaffold_001	10275502	10286633	1	WBGene00223969
Bm3709	Bm_v4_ChrX_scaffold_001	9048510	9051625	1	WBGene00223970
Bm3710	Bm_v4_Chr3_scaffold_001	6691070	6697319	-1	WBGene00223971
Bm3711	Bm_v4_Chr3_scaffold_001	4829956	4833515	-1	WBGene00223972
Bm3712	Bm_v4_Chr3_scaffold_001	6700092	6702119	-1	WBGene00223973
Bm3713	Bm_v4_ChrX_scaffold_001	13212481	13219443	1	WBGene00223974
Bm3714	Bm_v4_Chr1_scaffold_001	11053690	11065822	-1	WBGene00223975
Bm3715	Bm_v4_ChrX_scaffold_001	14654169	14660085	-1	WBGene00223976
Bm3716	Bm_v4_ChrX_scaffold_001	4180437	4194825	1	WBGene00223977
Bm3719	Bm_v4_ChrX_scaffold_001	13259730	13262372	1	WBGene00223980
Bm3720	Bm_008	173256	175546	1	WBGene00223981
Bm3721	Bm_v4_ChrX_scaffold_001	1277883	1283119	-1	WBGene00223982
Bm3722	Bm_v4_ChrX_scaffold_001	24289649	24292688	1	WBGene00223983
Bm3723	Bm_v4_Chr4_scaffold_001	5728213	5732841	-1	WBGene00223984
Bm3724	Bm_v4_Chr4_scaffold_001	7602560	7607920	1	WBGene00223985
Bm3725	Bm_v4_Chr4_scaffold_001	1806560	1812440	1	WBGene00223986
Bm3726	Bm_v4_Chr4_scaffold_001	3923913	3927743	1	WBGene00223987
Bm3727	Bm_v4_Chr4_scaffold_001	8118548	8124613	1	WBGene00223988
Bm3728	Bm_v4_Chr4_scaffold_001	2821952	2823316	1	WBGene00223989
Bm3729	Bm_v4_Chr2_contig_001	9645000	9650301	1	WBGene00223990
Bm3730	Bm_v4_Chr1_scaffold_001	2427741	2431725	1	WBGene00223991
Bm3732	Bm_v4_Chr2_contig_001	1529674	1535175	1	WBGene00223993
Bm3733	Bm_v4_Chr2_contig_001	6618860	6620407	1	WBGene00223994
Bm3734	Bm_v4_ChrX_scaffold_001	20610635	20614122	-1	WBGene00223995
Bm3735	Bm_v4_ChrX_scaffold_001	8815383	8821497	-1	WBGene00223996
Bm3736	Bm_v4_ChrX_scaffold_001	8804631	8809881	-1	WBGene00223997
Bm3737	Bm_v4_Chr3_scaffold_001	13695144	13700562	1	WBGene00223998
Bm3738	Bm_v4_Chr2_contig_001	6759452	6762361	-1	WBGene00223999
Bm3739	Bm_v4_Chr2_contig_001	6873115	6875650	-1	WBGene00224000
Bm3740	Bm_v4_Chr2_contig_001	517080	519277	-1	WBGene00224001
Bm3741	Bm_v4_Chr2_contig_001	13719406	13721091	1	WBGene00224002
Bm3742	Bm_v4_ChrX_scaffold_001	21516324	21521086	-1	WBGene00224003
Bm3743	Bm_007	194007	200359	-1	WBGene00224004
Bm3744	Bm_v4_ChrX_scaffold_001	18090200	18098247	1	WBGene00224005
Bm3745	Bm_v4_Chr3_scaffold_001	2804379	2805828	1	WBGene00224006
Bm3746	Bm_v4_Chr3_scaffold_001	3199440	3208923	-1	WBGene00224007
Bm3747	Bm_v4_Chr4_scaffold_001	6414311	6418523	1	WBGene00224008
Bm3748	Bm_v4_Chr2_contig_001	2075679	2077797	-1	WBGene00224009
Bm3749	Bm_v4_Chr2_contig_001	4231889	4235930	-1	WBGene00224010
Bm3750	Bm_v4_Chr4_scaffold_001	578504	583846	1	WBGene00224011
Bm3751	Bm_v4_Chr3_scaffold_001	8815179	8822087	1	WBGene00224012
Bm3752	Bm_v4_Chr3_scaffold_001	7109134	7111356	-1	WBGene00224013
Bm3753	Bm_v4_Chr3_scaffold_001	8438520	8445478	1	WBGene00224014
Bm3754	Bm_v4_Chr3_scaffold_001	138950	142003	-1	WBGene00224015
Bm3755	Bm_v4_Chr3_scaffold_001	4725764	4728220	-1	WBGene00224016
Bm3756	Bm_v4_ChrX_scaffold_001	10098387	10103067	-1	WBGene00224017
Bm3757	Bm_v4_ChrX_scaffold_001	7900914	7905136	-1	WBGene00224018
Bm3758	Bm_v4_Chr2_contig_001	591851	592217	-1	WBGene00224019
Bm3759	Bm_v4_ChrX_scaffold_001	18153614	18155933	1	WBGene00224020
Bm3760	Bm_v4_Chr1_scaffold_001	7867944	7873087	1	WBGene00224021
Bm3761	Bm_v4_ChrX_scaffold_001	21651084	21656087	1	WBGene00224022
Bm3762	Bm_v4_Chr4_scaffold_001	4496236	4497805	1	WBGene00224023
Bm3763	Bm_v4_ChrX_scaffold_001	16438599	16440429	-1	WBGene00224024
Bm3764	Bm_v4_Chr4_scaffold_001	3770622	3773688	1	WBGene00224025
Bm3765	Bm_v4_Chr4_scaffold_001	8729474	8731891	1	WBGene00224026
Bm3766	Bm_v4_Chr4_scaffold_001	8890235	8894430	1	WBGene00224027
Bm3767	Bm_v4_Chr4_scaffold_001	3752504	3753529	-1	WBGene00224028
Bm3768	Bm_v4_Chr4_scaffold_001	8884061	8886407	1	WBGene00224029
Bm3769	Bm_v4_Chr4_scaffold_001	3418885	3420597	1	WBGene00224030
Bm3770	Bm_v4_ChrX_scaffold_001	5402668	5406826	-1	WBGene00224031
Bm3771	Bm_v4_ChrX_scaffold_001	17125793	17129380	1	WBGene00224032
Bm3772	Bm_v4_Chr4_scaffold_001	12266060	12284758	1	WBGene00224033
Bm3773	Bm_v4_Chr4_scaffold_001	7333599	7336835	-1	WBGene00224034
Bm3774	Bm_v4_Chr4_scaffold_001	7694836	7696165	1	WBGene00224035
Bm3775	Bm_v4_Chr4_scaffold_001	2357862	2365774	1	WBGene00224036
Bm3776	Bm_v4_ChrX_scaffold_001	17398067	17403324	-1	WBGene00224037
Bm3777	Bm_v4_Chr3_scaffold_001	4616605	4619711	-1	WBGene00224038
Bm3778	Bm_v4_ChrX_scaffold_001	251942	275129	-1	WBGene00224039
Bm3779	Bm_v4_ChrX_scaffold_001	63873	72108	-1	WBGene00224040
Bm3780	Bm_v4_Chr2_contig_001	7897019	7901593	1	WBGene00224041
Bm3781	Bm_v4_Chr2_contig_001	4983561	4992275	-1	WBGene00224042
Bm3782	Bm_v4_Chr2_contig_001	5545027	5548475	1	WBGene00224043
Bm3783	Bm_v4_Chr2_contig_001	547447	548827	1	WBGene00224044
Bm3784	Bm_v4_Chr2_contig_001	13721620	13724215	1	WBGene00224045
Bm3785	Bm_v4_ChrX_scaffold_001	3074700	3083493	1	WBGene00224046
Bm3786	Bm_v4_Chr3_scaffold_001	8379354	8383579	-1	WBGene00224047
Bm3787	Bm_v4_ChrX_scaffold_001	1939107	1944061	1	WBGene00224048
Bm3788	Bm_v4_ChrX_scaffold_001	8628582	8654872	1	WBGene00224049
Bm3789	Bm_v4_ChrX_scaffold_001	11196230	11200235	1	WBGene00224050
Bm3791	Bm_v4_ChrX_scaffold_001	19294234	19295082	-1	WBGene00224052
Bm3792	Bm_v4_ChrX_scaffold_001	4895992	4897327	-1	WBGene00224053
Bm3793	Bm_v4_Chr3_scaffold_001	10386906	10389203	-1	WBGene00224054
Bm3794	Bm_v4_Chr3_scaffold_001	410282	414023	-1	WBGene00224055
Bm3795	Bm_v4_Chr3_scaffold_001	11804120	11808709	1	WBGene00224056
Bm3796	Bm_v4_Chr3_scaffold_001	11844571	11847515	1	WBGene00224057
Bm3797	Bm_v4_Chr3_scaffold_001	11799613	11802245	1	WBGene00224058
Bm3798	Bm_v4_Chr3_scaffold_001	7701696	7710920	-1	WBGene00224059
Bm3800	Bm_v4_Chr2_contig_001	6612191	6614870	1	WBGene00224061
Bm3801	Bm_v4_Chr2_contig_001	6609024	6612013	1	WBGene00224062
Bm3802	Bm_v4_Chr2_contig_001	6594959	6603051	1	WBGene00224063
Bm3803	Bm_v4_Chr2_contig_001	12125686	12131544	-1	WBGene00224064
Bm3804	Bm_v4_Chr2_contig_001	3476035	3484331	1	WBGene00224065
Bm3805	Bm_v4_ChrX_scaffold_001	6205289	6207317	1	WBGene00224066
Bm3806	Bm_v4_ChrX_scaffold_001	20428842	20439703	-1	WBGene00224067
Bm3807	Bm_v4_Chr1_scaffold_001	13082876	13090459	1	WBGene00224068
Bm3809	Bm_v4_Chr3_scaffold_001	6353151	6368288	-1	WBGene00224070
Bm3810	Bm_v4_Chr3_scaffold_001	8602012	8608285	1	WBGene00224071
Bm3811	Bm_v4_Chr3_scaffold_001	8501697	8507146	1	WBGene00224072
Bm3812	Bm_v4_Chr2_contig_001	7040366	7045235	1	WBGene00224073
Bm3813	Bm_v4_Chr1_scaffold_001	2781774	2787838	-1	WBGene00224074
Bm3814	Bm_v4_Chr1_scaffold_001	2224042	2227418	1	WBGene00224075
Bm3817	Bm_v4_ChrX_scaffold_001	21884823	21891729	-1	WBGene00224078
Bm3818	Bm_v4_ChrX_scaffold_001	18702600	18707684	-1	WBGene00224079
Bm3819	Bm_v4_ChrX_scaffold_001	20014665	20027280	-1	WBGene00224080
Bm3820	Bm_v4_ChrX_scaffold_001	19297776	19327454	1	WBGene00224081
Bm3821	Bm_v4_Chr4_scaffold_001	11109198	11118708	-1	WBGene00224082
Bm3822	Bm_v4_Chr4_scaffold_001	5439114	5442958	1	WBGene00224083
Bm3823	Bm_v4_Chr2_contig_001	11441151	11445505	-1	WBGene00224084
Bm3824	Bm_v4_ChrX_scaffold_001	440694	443164	-1	WBGene00224085
Bm3827	Bm_v4_Chr3_scaffold_001	5271727	5274427	1	WBGene00224088
Bm3828	Bm_v4_ChrX_scaffold_001	16009330	16014765	1	WBGene00224089
Bm3829	Bm_v4_Chr4_scaffold_001	2581000	2590008	-1	WBGene00224090
Bm3830	Bm_v4_Chr3_scaffold_001	6431106	6438751	-1	WBGene00224091
Bm3831	Bm_v4_Chr3_scaffold_001	9211461	9212206	-1	WBGene00224092
Bm3832	Bm_v4_Chr2_contig_001	8758246	8760756	1	WBGene00224093
Bm3833	Bm_v4_Chr2_contig_001	12050168	12056942	1	WBGene00224094
Bm3834	Bm_v4_Chr2_contig_001	14116385	14127981	-1	WBGene00224095
Bm3835	Bm_v4_ChrX_scaffold_001	9884143	9888781	-1	WBGene00224096
Bm3836	Bm_v4_Chr2_contig_001	8614969	8620705	1	WBGene00224097
Bm3837	Bm_v4_Chr4_scaffold_001	6007742	6010428	-1	WBGene00224098
Bm3838	Bm_v4_Chr2_contig_001	10504859	10526429	-1	WBGene00224099
Bm3839	Bm_v4_Chr2_contig_001	5338153	5340448	1	WBGene00224100
Bm3840	Bm_v4_Chr4_scaffold_001	4404442	4407678	-1	WBGene00224101
Bm3841	Bm_v4_ChrX_scaffold_001	9391157	9396113	-1	WBGene00224102
Bm3842	Bm_v4_Chr4_scaffold_001	6953242	6954323	1	WBGene00224103
Bm3843	Bm_v4_Chr1_scaffold_001	8607679	8612441	-1	WBGene00224104
Bm3844	Bm_v4_Chr2_contig_001	1737514	1738556	1	WBGene00224105
Bm3845	Bm_v4_ChrX_scaffold_001	16452844	16457510	-1	WBGene00224106
Bm3846	Bm_v4_Chr1_scaffold_001	6468729	6473538	1	WBGene00224107
Bm3847	Bm_v4_Chr1_scaffold_001	12680600	12684341	1	WBGene00224108
Bm3848	Bm_v4_ChrX_scaffold_001	18836203	18837582	1	WBGene00224109
Bm3850	Bm_v4_Chr2_contig_001	8123289	8128192	1	WBGene00224111
Bm3851	Bm_v4_ChrX_scaffold_001	11901320	11907776	1	WBGene00224112
Bm3852	Bm_v4_Chr3_scaffold_001	5067900	5071917	1	WBGene00224113
Bm3853	Bm_v4_ChrX_scaffold_001	4150285	4151079	1	WBGene00224114
Bm3854	Bm_v4_ChrX_scaffold_001	18274981	18280707	-1	WBGene00224115
Bm3855	Bm_v4_ChrX_scaffold_001	13519762	13530882	1	WBGene00224116
Bm3856	Bm_v4_ChrX_scaffold_001	20230846	20236032	1	WBGene00224117
Bm3857	Bm_v4_ChrX_scaffold_001	17753601	17761184	1	WBGene00224118
Bm3858	Bm_v4_Chr3_scaffold_001	7618416	7622502	-1	WBGene00224119
Bm3859	Bm_v4_Chr2_contig_001	9966040	9979390	-1	WBGene00224120
Bm3860	Bm_v4_Chr4_scaffold_001	3227159	3228224	1	WBGene00224121
Bm3861	Bm_v4_Chr3_scaffold_001	945857	950424	-1	WBGene00224122
Bm3862	Bm_v4_Chr1_scaffold_001	9607944	9610958	1	WBGene00224123
Bm3863	Bm_v4_ChrX_scaffold_001	23942115	23968065	-1	WBGene00224124
Bm3864	Bm_v4_ChrX_scaffold_001	19536732	19549294	-1	WBGene00224125
Bm3865	Bm_v4_Chr3_scaffold_001	9222473	9227958	1	WBGene00224126
Bm3866	Bm_v4_ChrX_scaffold_001	20946231	20947679	-1	WBGene00224127
Bm3867	Bm_v4_Chr4_scaffold_001	11987983	12010558	-1	WBGene00224128
Bm3869	Bm_v4_Chr4_scaffold_001	4609159	4612523	-1	WBGene00224130
Bm3870	Bm_v4_Chr4_scaffold_001	9441100	9443726	-1	WBGene00224131
Bm3871	Bm_v4_Chr3_scaffold_001	275607	284716	1	WBGene00224132
Bm3872	Bm_v4_Chr3_scaffold_001	2591612	2593921	1	WBGene00224133
Bm3873	Bm_v4_Chr3_scaffold_001	1562473	1569144	1	WBGene00224134
Bm3874	Bm_v4_Chr3_scaffold_001	2582060	2587408	1	WBGene00224135
Bm3876	Bm_v4_Chr3_scaffold_001	3855614	3861915	-1	WBGene00224137
Bm3877	Bm_v4_Chr3_scaffold_001	2122288	2126974	-1	WBGene00224138
Bm3878	Bm_v4_Chr4_scaffold_001	1145838	1146463	1	WBGene00224139
Bm3880	Bm_v4_Chr1_scaffold_001	2569058	2571856	1	WBGene00224141
Bm3881	Bm_v4_Chr4_scaffold_001	9217842	9219093	-1	WBGene00224142
Bm3882	Bm_v4_Chr1_scaffold_001	12895949	12899551	1	WBGene00224143
Bm3883	Bm_v4_Chr1_scaffold_001	12894265	12895601	1	WBGene00224144
Bm3884	Bm_v4_Chr1_scaffold_001	11547640	11555417	1	WBGene00224145
Bm3885	Bm_v4_Chr1_scaffold_001	12149259	12156699	1	WBGene00224146
Bm3886	Bm_v4_Chr1_scaffold_001	6861799	6866670	1	WBGene00224147
Bm3887	Bm_v4_Chr1_scaffold_001	3464394	3466376	1	WBGene00224148
Bm3888	Bm_v4_Chr2_contig_001	7397766	7400833	1	WBGene00224149
Bm3889	Bm_v4_Chr2_contig_001	14031448	14036971	1	WBGene00224150
Bm3890	Bm_v4_Chr2_contig_001	9747108	9748742	-1	WBGene00224151
Bm3891	Bm_v4_ChrX_scaffold_001	11726303	11728978	1	WBGene00224152
Bm3892	Bm_v4_Chr1_scaffold_001	7559446	7562475	-1	WBGene00224153
Bm3893	Bm_v4_Chr1_scaffold_001	14301743	14304396	1	WBGene00224154
Bm3894	Bm_v4_Chr1_scaffold_001	14306060	14306683	1	WBGene00224155
Bm3895	Bm_v4_Chr1_scaffold_001	6390667	6391391	-1	WBGene00224156
Bm3896	Bm_v4_Chr1_scaffold_001	5655113	5657026	-1	WBGene00224157
Bm3897	Bm_v4_Chr1_scaffold_001	12655386	12657753	-1	WBGene00224158
Bm3898	Bm_v4_Chr3_scaffold_001	7741123	7752199	1	WBGene00224159
Bm3899	Bm_v4_Chr3_scaffold_001	315770	322537	-1	WBGene00224160
Bm3901	Bm_v4_Chr3_scaffold_001	6118642	6119709	1	WBGene00224162
Bm3902	Bm_v4_Chr3_scaffold_001	5834066	5839838	1	WBGene00224163
Bm3903	Bm_v4_ChrX_scaffold_001	10009473	10012892	-1	WBGene00224164
Bm3904	Bm_v4_ChrX_scaffold_001	9716420	9721076	1	WBGene00224165
Bm3905	Bm_v4_Chr4_scaffold_001	9169154	9174582	-1	WBGene00224166
Bm3906	Bm_v4_Chr4_scaffold_001	10639559	10650345	1	WBGene00224167
Bm3907	Bm_v4_Chr4_scaffold_001	609273	618419	1	WBGene00224168
Bm3908	Bm_v4_Chr1_scaffold_001	8251634	8257100	1	WBGene00224169
Bm3910	Bm_v4_Chr2_contig_001	5801065	5803266	1	WBGene00224171
Bm3911	Bm_v4_ChrX_scaffold_001	22597542	22607620	1	WBGene00224172
Bm3912	Bm_v4_Chr4_scaffold_001	2530405	2534034	-1	WBGene00224173
Bm3913	Bm_v4_Chr2_contig_001	939398	943692	1	WBGene00224174
Bm3914	Bm_v4_ChrX_scaffold_001	2502956	2507036	1	WBGene00224175
Bm3915	Bm_v4_ChrX_scaffold_001	12707002	12709387	-1	WBGene00224176
Bm3916	Bm_v4_ChrX_scaffold_001	9032702	9034013	-1	WBGene00224177
Bm3917	Bm_v4_ChrX_scaffold_001	10504140	10511195	-1	WBGene00224178
Bm3918	Bm_v4_ChrX_scaffold_001	10543684	10546777	1	WBGene00224179
Bm3919	Bm_v4_ChrX_scaffold_001	3196339	3203168	1	WBGene00224180
Bm3920	Bm_v4_ChrX_scaffold_001	2999648	3001351	1	WBGene00224181
Bm3921	Bm_v4_ChrX_scaffold_001	18710040	18715817	1	WBGene00224182
Bm3922	Bm_v4_ChrX_scaffold_001	5246776	5251881	1	WBGene00224183
Bm3924	Bm_v4_ChrX_scaffold_001	7523198	7528139	1	WBGene00224185
Bm3925	Bm_v4_ChrX_scaffold_001	6666755	6668158	1	WBGene00224186
Bm3926	Bm_v4_ChrX_scaffold_001	2050333	2062793	1	WBGene00224187
Bm3928	Bm_v4_Chr3_scaffold_001	10298546	10299589	1	WBGene00224189
Bm3929	Bm_v4_Chr3_scaffold_001	9420286	9432084	-1	WBGene00224190
Bm3930	Bm_v4_Chr3_scaffold_001	1399243	1400037	-1	WBGene00224191
Bm3931	Bm_v4_Chr3_scaffold_001	9416604	9419716	-1	WBGene00224192
Bm3933	Bm_v4_Chr3_scaffold_001	1400918	1401283	-1	WBGene00224194
Bm3934	Bm_v4_Chr3_scaffold_001	1402186	1404938	-1	WBGene00224195
Bm3935	Bm_v4_Chr3_scaffold_001	2578488	2580926	-1	WBGene00224196
Bm3937	Bm_v4_ChrX_scaffold_001	2310451	2318794	1	WBGene00224198
Bm3938	Bm_v4_ChrX_scaffold_001	4390494	4394497	1	WBGene00224199
Bm3939	Bm_v4_ChrX_scaffold_001	12154594	12157810	1	WBGene00224200
Bm3940	Bm_v4_Chr4_scaffold_001	345032	351642	-1	WBGene00224201
Bm3941	Bm_v4_ChrX_scaffold_001	11870888	11875360	1	WBGene00224202
Bm3942	Bm_v4_Chr3_scaffold_001	5247859	5249128	1	WBGene00224203
Bm3943	Bm_v4_Chr3_scaffold_001	2462867	2469480	1	WBGene00224204
Bm3944	Bm_v4_Chr4_scaffold_001	9941693	9943501	1	WBGene00224205
Bm3945	Bm_v4_Chr4_scaffold_001	7080208	7084280	1	WBGene00224206
Bm3946	Bm_v4_Chr3_scaffold_001	5809922	5812004	1	WBGene00224207
Bm3947	Bm_v4_Chr3_scaffold_001	6278358	6281194	-1	WBGene00224208
Bm3948	Bm_v4_ChrX_scaffold_001	18867840	18872948	1	WBGene00224209
Bm3949	Bm_v4_ChrX_scaffold_001	3777441	3780343	1	WBGene00224210
Bm3950	Bm_v4_ChrX_scaffold_001	8482021	8484352	-1	WBGene00224211
Bm3951	Bm_v4_ChrX_scaffold_001	21791846	21793221	1	WBGene00224212
Bm3952	Bm_v4_Chr1_scaffold_001	5768438	5771746	1	WBGene00224213
Bm3953	Bm_v4_Chr1_scaffold_001	9077510	9079239	-1	WBGene00224214
Bm3954	Bm_v4_Chr4_scaffold_001	11755693	11758052	-1	WBGene00224215
Bm3955	Bm_v4_ChrX_scaffold_001	6812443	6815096	-1	WBGene00224216
Bm3956	Bm_v4_ChrX_scaffold_001	18632861	18635240	-1	WBGene00224217
Bm3957	Bm_v4_Chr1_scaffold_001	4253389	4256285	-1	WBGene00224218
Bm3958	Bm_v4_ChrX_scaffold_001	16104762	16107539	-1	WBGene00224219
Bm3959	Bm_v4_ChrX_scaffold_001	4134716	4137819	1	WBGene00224220
Bm3960	Bm_v4_ChrX_scaffold_001	5438403	5453529	1	WBGene00224221
Bm3961	Bm_v4_ChrX_scaffold_001	3232925	3236171	-1	WBGene00224222
Bm3962	Bm_v4_ChrX_scaffold_001	17905565	17906768	1	WBGene00224223
Bm3963	Bm_v4_ChrX_scaffold_001	17902701	17904421	1	WBGene00224224
Bm3964	Bm_v4_ChrX_scaffold_001	13500178	13501981	-1	WBGene00224225
Bm3965	Bm_v4_Chr2_contig_001	7095972	7097652	-1	WBGene00224226
Bm3967	Bm_v4_Chr2_contig_001	2678362	2682617	-1	WBGene00224228
Bm3968	Bm_v4_Chr2_contig_001	8795042	8797940	1	WBGene00224229
Bm3969	Bm_v4_Chr4_scaffold_001	3308646	3312672	-1	WBGene00224230
Bm3971	Bm_v4_Chr4_scaffold_001	8248124	8249933	-1	WBGene00224232
Bm3972	Bm_v4_Chr4_scaffold_001	6773783	6777845	-1	WBGene00224233
Bm3973	Bm_016	48771	49998	-1	WBGene00224234
Bm3974	Bm_v4_ChrX_scaffold_001	17039339	17043050	1	WBGene00224235
Bm3976	Bm_v4_Chr1_scaffold_001	7112021	7112849	1	WBGene00224237
Bm3977	Bm_v4_Chr1_scaffold_001	2285160	2287096	1	WBGene00224238
Bm3978	Bm_v4_Chr1_scaffold_001	4241891	4243844	-1	WBGene00224239
Bm3979	Bm_v4_Chr2_contig_001	6573387	6576705	1	WBGene00224240
Bm3980	Bm_v4_Chr2_contig_001	6134787	6136991	-1	WBGene00224241
Bm3981	Bm_v4_ChrX_scaffold_001	12100387	12105579	1	WBGene00224242
Bm3982	Bm_v4_Chr3_scaffold_001	1917131	1921473	-1	WBGene00224243
Bm3983	Bm_007	268816	272488	-1	WBGene00224244
Bm3984	Bm_v4_Chr2_contig_001	4739592	4741215	-1	WBGene00224245
Bm3985	Bm_v4_Chr2_contig_001	9435972	9439616	-1	WBGene00224246
Bm3986	Bm_v4_Chr1_scaffold_001	5441018	5442768	-1	WBGene00224247
Bm3987	Bm_v4_Chr2_contig_001	7819273	7823212	1	WBGene00224248
Bm3988	Bm_v4_ChrX_scaffold_001	3975051	3984896	1	WBGene00224249
Bm3989	Bm_v4_ChrX_scaffold_001	21109054	21116483	-1	WBGene00224250
Bm3990	Bm_v4_ChrX_scaffold_001	4290940	4297340	1	WBGene00224251
Bm3991	Bm_v4_ChrX_scaffold_001	4298184	4300448	-1	WBGene00224252
Bm3992	Bm_v4_ChrX_scaffold_001	5821921	5830714	1	WBGene00224253
Bm3993	Bm_v4_Chr2_contig_001	5559657	5563357	1	WBGene00224254
Bm3994	Bm_v4_Chr4_scaffold_001	5071473	5072924	1	WBGene00224255
Bm3995	Bm_v4_Chr4_scaffold_001	5074359	5087033	-1	WBGene00224256
Bm3996	Bm_v4_Chr4_scaffold_001	9933138	9936687	-1	WBGene00224257
Bm3997	Bm_v4_Chr4_scaffold_001	5087980	5089449	1	WBGene00224258
Bm4000	Bm_v4_Chr4_scaffold_001	9783493	9788012	-1	WBGene00224261
